Title,Category,Type,Description,Application,Reference 
.agd , AgileGraph, AgileGraph Data File, Data files are created by an associated application that will use the content stored in these data files when a user accesses integrated features corresponding to the details found in the data file. Some of these data files are used as database templates updated with content as a user enters data through the associated program. The AgileGraph data file contains information referenced by the AgileGraph software when a user wants to display the content stored in those files via the GUI (Graphical User Interface) of the application. These files are appended with the .agd extension. The AgileGraph software is used for the importation and visualization of a wide set of text data sources such as the content of files stored in .csv and .xls or .xlsx formats. The output of this application may include visual charts graphs and diagrams. Users can install the AgileGraph application into their Microsoft Windows-based systems to begin creating visual graphs charts and diagrams as well as to implement compatibility support for these AGD files into their systems., AgileGraph, https://www.reviversoft.com/file-extensions/agd
.aggr , Adobe Systems, Adobe Captivate Aggregate File, Certain types of data files can be used for the combination of other output files while there are data file types which can also be converted to a desired distributable format after combining the data stored in multiple data files. Files with the AGG extension are examples of a data file integrated with the functionalities of combining data from different supported files and converting these combined pieces of data into a single file with the .swf extension. Also called Adobe Captivate aggregate files these AGGR files can also be stored in a distributable EXE file after the combination of data from multiple supported file sources. Users can install the Adobe Captivate program into their Microsoft Windows-based systems to start creating opening or modifying the content of these AGGR files. Version 6 of the Adobe Captivate program also developed by Adobe Systems can be used in Mac platforms. This means users of Microsoft Windows-based platforms and Mac environments can share output files and these .aggr files for groupware collaboration., Adobe Captivate 6, https://www.reviversoft.com/file-extensions/aggr
.agm , Digital Theater Systems, Packer File, The AGM file extension is a data format associated to DTS Pro Series Surround Encoder program used to package and encode audio files.  The AGM files and DTS Pro Series Surround Encoder were developed by DTS or Digital Theater Systems. These files contain a collection of compatible audio files with their corresponding file length bit rate session data and sampling rate metadata. They are encrypted in Surround Encoder before sending over to a network. They are used for encoding audio that can be written to a CD or DVD. To create a DTS encoded file first create a packed AGM file through the Packer program that selects the individual audio files corresponding to each individual channel. The DTS Packer program creates a single AGM data file from the multiple audio tracks. Files in AGM format can be opened with DTS Pro Series Surround Encoder in in Microsoft Windows-based systems., DTS Surround Audio Suite, https://www.reviversoft.com/file-extensions/agm
.aif , Apple, Interchange File," The AIF file extension is a standard data format for Audio Interchange File Format. AIF files were based on IFF format and were developed by Apple Inc. in 1988. These files contain 2 channels of uncompressed stereo audio with 16 bits sample size recorded at 44.1 kilohertz. They are made for ""CD-quality audio this means a 4 minute song in AIF format would require 40MB of disk space similar to WAV files. This means they are relatively large in size. They are used for audio recording and are saved in uncompressed format ensuring sound quality. However they are saved in compressed format for exportation. Other file extensions used by this format includes AIFF and AIFF-C. Files in AIF format can be opened with Apple QuickTime Player Apple iTunes and Adobe Audition CS6 in Mac operating systems and Microsoft Windows-based systems. The AIF file extension is widely used in Microsoft Windows.", Apple QuickTime Player|Nullsoft Winamp Media Player 5.6|Apple iTunes|Microsoft Windows Media Player|Adobe Audition CS6, https://www.reviversoft.com/file-extensions/aif
.aif , Apple, Interchange File," The AIF file extension is a standard data format for Audio Interchange File Format. AIF files were based on IFF format and were developed by Apple Inc. in 1988. These files contain 2 channels of uncompressed stereo audio with 16 bits sample size recorded at 44.1 kilohertz. They are made for ""CD-quality audio this means a 4 minute song in AIF format would require 40MB of disk space similar to WAV files. This means they are relatively large in size. They are used for audio recording and are saved in uncompressed format ensuring sound quality. However they are saved in compressed format for exportation. Other file extensions used by this format includes AIFF and AIFF-C. Files in AIF format can be opened with Apple QuickTime Player Apple iTunes and Adobe Audition CS6 in Mac operating systems and Microsoft Windows-based systems. The AIF file extension is widely used in Microsoft Windows.", Apple QuickTime Player|Nullsoft Winamp Media Player 5.6|Apple iTunes|Microsoft Windows Media Player|Adobe Audition CS6, https://www.reviversoft.com/file-extensions/aif
.aifb , Symbian, AIF Builder Project File, AIF Builder project files are appended with the .aifb extension and these AIFB files are classified as data files because it contains data entered by the user that will be accessed as reference data by the program used to view the content of a project output file associated to these AIFB files. The AIF Builder software is a program that can be installed in Microsoft Windows-based systems to implement support for these AIFB files. Microsoft Windows users can begin to use the Symbian AIF Builder program and upon saving a project using this software an AIFB file will be automatically created by the application and associated to the project. There are features integrated into this application that can also be used to edit the content of an AIFB file. The Symbian AIF Builder software was developed by Symbian as an application that can be used to develop applications for the Symbian mobile OS and the content of these AIFB files include details referenced by this application and the Symbian software itself that was developed using this program and these AIFB files can also be attached with TXT files that contain directory locations of the Java Virtual Machine in instances when Symbian AIF Builder software users create a mobile Java application using this program., Symbian AIF Builder, https://www.reviversoft.com/file-extensions/aifb
.aifc , Apple, Interchange File," The AIFC file extension is a data format for Audio Interchange File Format. AIFC is known as Compressed Audio Interchange File. AIFC files were based on IFF format and were developed by Apple Inc. These compressed audio files are basically AIF files in compressed format. They contain CD-quality audio with reduced file size that incorporated ULAW ALAW or G722 compression. They are also referred to as an AIFF-C file with compress ratios as high as 6:1. They contain IFF chunks each chunk consisting of a chunk identifier chunk length and chunk data. They specify a compression type in the COMM chunk and the compression type is ""NONE"" for PCM data. The compression type is accompanied by a printable name compression type ID and a compression type name. Files in AIFC format can be opened with Apple iTunes Apple QuickTime Player and Adobe Audition CS6 in Mac operating systems and Microsoft Windows-based systems.", Apple iTunes|Apple QuickTime Player|Microsoft Windows Media Player|Adobe Audition CS6, https://www.reviversoft.com/file-extensions/aifc
.aiff , Apple, Interchange File," The AIFF file extension is also known as the Audio Interchange File Format. AIFF files were based on IFF format and were developed by Apple Inc. in 1988. These files contain 2 channels of uncompressed stereo audio with 16 bits sample size recorded at 44.1 kilohertz. They are made for ""CD-quality audio this means a 4 minute song in AIF format would require 40MB of disk space similar to WAV files. This means they are relatively large in size. They support only uncompressed PCM data. They are used for audio recording and are saved in uncompressed format ensuring sound quality. However they are saved in compressed format for exportation. They are the same as AIF files. However AIF is more widely used in PC users. Files in AIFF format can be opened with Apple QuickTime Player Apple iTunes and Adobe Audition CS6 in Mac operating systems and Microsoft Windows-based systems.", Apple iTunes|Apple QuickTime Player|Microsoft Windows Media Player|Nullsoft Winamp Media Player 5.6|Adobe Audition CS6, https://www.reviversoft.com/file-extensions/aiff
.aim , Paragon Decision Technology, AIMMS ASCII Model File, AIM is a model file also known as AIMMS or Advanced Integrated Multidimensional Modeling Software.  It is a model which was created and saved in a text format using AIMMS modeling which is very much similar to that of .AMB files.  ASCII text files features are used in this type of file and not binary file.  Its operating system basically is cross platform but with few limitations.  This software is best preferred in solving scheduling and optimization problems. Its features include graphical user interface algebraic modeling language and integrated development environment.  The software is also connected to various solvers under the AIMMS Open Solver Interface among of which include KNITRO MINOS GUROBI CPLEX CBC SNOPT CONOPT AND IPOPT.  Programming used is a combination of logic computation and statements that describe computation or imperative programming.  Different types of mathematical based problems are supported by this application namely mixed integer programming quadratic programming and linear programming., Paragon AIMMS, https://www.reviversoft.com/file-extensions/aim
.aim , Paragon Decision Technology, AIMMS ASCII Model File, AIM is a model file also known as AIMMS or Advanced Integrated Multidimensional Modeling Software.  It is a model which was created and saved in a text format using AIMMS modeling which is very much similar to that of .AMB files.  ASCII text files features are used in this type of file and not binary file.  Its operating system basically is cross platform but with few limitations.  This software is best preferred in solving scheduling and optimization problems. Its features include graphical user interface algebraic modeling language and integrated development environment.  The software is also connected to various solvers under the AIMMS Open Solver Interface among of which include KNITRO MINOS GUROBI CPLEX CBC SNOPT CONOPT AND IPOPT.  Programming used is a combination of logic computation and statements that describe computation or imperative programming.  Different types of mathematical based problems are supported by this application namely mixed integer programming quadratic programming and linear programming., Paragon AIMMS, https://www.reviversoft.com/file-extensions/aim
.ais , ACD Systems, Sequence File, The AIS file extension is a data format associated to ACDSee photo-editing software editing tools for digital photos. The AIS files and ACDSee photo-editing software were developed by ACD Systems. These files contain a sequence of images as well as transitions timing settings and effects in slideshow form. The software includes templates by top digital designers Andrea Gold Maggie Lamarre and Vicki Stegall. It also includes fast fix tools including Red Eye Dodge Burn Sharpen and Smudge. It allows user to crop and extract images while editing photos. ACD Photo Manager no longer uses AIS files for slide shows. Instead the program publishes slide shows to .EXE .SCR and .SWF formats. Saved slideshow projects use the .ASW extension.  To create a slideshow first categorized images then click category and select all the images  then drag them in the image basket then right click slideshow. Files in AIS format can be opened with ACDSee Photo Editor 2008 and ACDSee Photo Manager 14 in Microsoft Windows-based systems., ACDSee Photo Editor 2008, https://www.reviversoft.com/file-extensions/ais
.ais , ACD Systems, Sequence File, The AIS file extension is a data format associated to ACDSee photo-editing software editing tools for digital photos. The AIS files and ACDSee photo-editing software were developed by ACD Systems. These files contain a sequence of images as well as transitions timing settings and effects in slideshow form. The software includes templates by top digital designers Andrea Gold Maggie Lamarre and Vicki Stegall. It also includes fast fix tools including Red Eye Dodge Burn Sharpen and Smudge. It allows user to crop and extract images while editing photos. ACD Photo Manager no longer uses AIS files for slide shows. Instead the program publishes slide shows to .EXE .SCR and .SWF formats. Saved slideshow projects use the .ASW extension.  To create a slideshow first categorized images then click category and select all the images  then drag them in the image basket then right click slideshow. Files in AIS format can be opened with ACDSee Photo Editor 2008 and ACDSee Photo Manager 14 in Microsoft Windows-based systems., ACDSee Photo Editor 2008, https://www.reviversoft.com/file-extensions/ais
.aiv , EllaZ Systems, AIVault Data File," An AIVault data file can be created using the AIVault application and when saving these data files the .aiv extension is the default format used for output files created with this application. These AIV data files contain text content referred to as memos or comments entered by the user of the AIVault program for a project created by the user. The AIVault application references the data stored in these AIV files when the user opens the AIV file to view its content or for editing purposes. The AIVault software is a program used to enter memos or reminders in text format and the features integrated into this application provide users with a more convenient means of organizing tracking and managing these memos. EllaZ Systems developed the AIValut application for users of computers running on Microsoft Windows. The content of these AIV files are encoded in binary format and files with the .aiv extension can usually be found in a folder labeled ""Memos"" inside the directory where the application and its associated files were saved upon program installation.", EllaZ Systems AIVault, https://www.reviversoft.com/file-extensions/aiv
.akp , Akai Professional, Sampler File, The AKP file extension is a data format associated to Akai Sampler. AKP files and AKAI Sampler were developed by AKAI Professional. These files are program files used by Akai S5000 and S6000 samplers. They are basically in the standard RIFF file format. A RIFF file is made up of chunks: each one starting with a 4 byte ASCII header and a 4 byte (double word) number representing the length of the chunk.  Only two types of chunk are allowed to have sub chunks the 'RIFF' chunk (the whole file) and any 'LIST' chunks In an AKP file the 'kgrp' chunk contains 9 sub chunks. Chunks are always written in the same order .The kgrp header is also slightly non-standard. Files in AKP format can be opened with Propellerhead ReCycle Chicken Systems Translator FMJ-Software Awave Studio MAZ Sound Tools VSampler and Freecycle in Mac Os Microsoft Windows-based systems and Linux platforms., Chicken Systems Translator|FMJ-Software Awave Studio, https://www.reviversoft.com/file-extensions/akp
.al , N/A, A-Law Compressed Sound File, The AL file extension is a data format associated to A-Law Compressed Sound. AL files and A-Law Compressed Sound were released in 1972. These files represent audio compression scheme common in voice only applications and are mostly used in European systems. Slightly similar to u-Law compression format it compresses original 16-bit audio down to 8 bits (for a 2:1 compression ratio) with a dynamic range of about 13-bits.The compression data is half the size of the original sample. With such compression rate logarithmic encoding and decoding is fast and basically falls under WAV file category. They are also known as CCITT standard G.711 and are used to improve signal to noise ratio for digital telephones. This indicates that lost information would not be heard by the human ear. They have the ability to optimize the dynamic range of an audio signal. Files in AL format can be opened with Apple QuickTime Player in Mac Os and Microsoft Windows-based systems., Apple QuickTime Player, https://www.reviversoft.com/file-extensions/al
.alac , Apple, Encoded File, The ALAC file extension is a data format associated to Apple Lossless Audio Codec (ALAC). ALAC files were developed by Apple. These files use M4A format because ALAC is a codec used for encoding audio data and not an audio file container format like an MPEG-4 file. These are audio files used for storing digital music in lossless format without losing any sound quality from the original audio data. They were first introduced to Mac OS X Core Audio framework in 2004 and were packaged in iTunes 4.5. They are also known as Apple Lossless or Apple Lossless Encoder .They are larger in size so they require more storage space compared to lossy format. They are also regarded as rivals of FLAC and Shorten and showing strength ALAC format is now being used by all iDevices. Files in M4A format can be opened with Apple iTunes and Sony SpectraLayers Pro in Mac Os and Microsoft Windows-based systems., Apple iTunes|Sony SpectraLayers Pro, https://www.reviversoft.com/file-extensions/alac
.alaw , N/A, A-Law Compressed Sound File, The ALAW file extension is a data format associated to A-Law Compressed Sound. ALAW files and A-Law Compressed Sound were released in 1972. These files represent audio compression scheme common in voice only applications and are mostly used in European systems. Slightly similar to u-Law compression format it compresses original 16-bit audio down to 8 bits (for a 2:1 compression ratio) with a dynamic range of about 13-bits.The compression data is half the size of the original sample. With such compression rate logarithmic encoding and decoding is fast and basically falls under WAV file category. They are also known as CCITT standard G.711 and are used to improve signal to noise ratio for digital telephones. This indicates that lost information would not be heard by the human ear. They have the ability to optimize the dynamic range of an audio signal. Files in ALAW format can be opened with Apple QuickTime Player in Mac Os and Microsoft Windows-based systems., Apple QuickTime Player|ShedWorx Smart Converter, https://www.reviversoft.com/file-extensions/alaw
.alc , Ableton, Ableton Live Clip File, Ableton Live clip files are classified as data files and are used as the default output file of the Ableton Live software. These files are saved in this format and are appended with the .alc extension. The content of these ALC data files consist of audio data created using the Ableton Live program. This software was developed to provide users with digital audio creation and editing functionalities most useful for developing audio clips which can be inserted or embedded into presentations and videos or even unto Web pages provided that the ALC file is converted into audio data formats supported by standard Web pages. These ALC files are mostly audio clips created with the Ableton Live software when a user crops or cuts segments of a much larger audio file. Ableton developed the Ableton Live and the ALC audio data file format for users of Microsoft Windows-based systems and there is also a version of this software that can run on Mac platforms so users of any of these systems can install this application to start creating opening and editing ALC files., Ableton Live, https://www.reviversoft.com/file-extensions/alc
.ald , Microsoft Corporation, Dynamics AX Application Label Data File, Microsoft acquired Axtapa Systems and later developed the Microsoft Dynamics AX software that uses files appended with the ALD extension. These ALD files are also known as Application Label data files and its content is referenced by the Microsoft Dynamics AX which happens when users creating or editing the associated project output file (using the Microsoft Dynamics AX application) want to enter form data into those project output files. The content of these ALD files are text messages entered by the user for forms found in the project output file that was saved using the Microsoft Dynamics AX program and these ALD files are automatically created by the software upon saving the main project output file. The Microsoft Dynamics AX software also associates these ALD files to the corresponding project output files for quick and easy referencing and retrieval when the user wants to view the content of those project output files. Users of Microsoft Windows-based platforms can install the Microsoft Dynamics AX program to start creating opening or editing projects and to also integrate support into their systems for the ALD file format. The Microsoft Dynamics AX software is classified as a business productivity application., Microsoft Dynamics AX, https://www.reviversoft.com/file-extensions/ald
.alg , Steinberg, Cubase Multi Track Song File, A Cubase multi track song file contains multiple audio tracks combined into one digital song file and this can be done by using the set of functionalities integrated into the Cubase software. The Cubase application can also be used to mix multiple MIDI tracks with audio tracks and combine these tracks in one multi track song file which is called a Cubase multi track song file. These audio and MIDI tracks can be created and modified using the Cubase VST software. When these MIDI and audio tracks are combined in one Cubase multi track song file the Cubase application integrates audio data compression specifications and data encoding standards into the Cubase multi track song file to save its content in the ALL file format. These Cubase multi track song files are appended with the .all extension., Cubase SL/SX|Cubase, https://www.reviversoft.com/file-extensions/alg
.ali , Microsoft Corporation, Dynamics AX Label Index File, Microsoft Corporation developed the Dynamics AX application as a business productivity solution and this software accesses the data stored in the .ali format when the user views anoutput files associated to certain ALI files. The Microsoft Dynamics AX program references the content of these ALI files whenever it needs to display index information for the associated output file currently being viewed by a user. Axtapa Systems was acquired by Microsoft Corporation before the development work started on the Microsoft Dynamic AX program. These files with the .ali extension also known as Dynamics AX label index files are stored with content that can be referenced when the user accesses certain features integrated into an output file that was created using the Microsoft Dynamics AX software and these details include information about label values entered by the author of the output file and these labels are arranged by language., Microsoft Dynamics AX, https://www.reviversoft.com/file-extensions/ali
.all , Steinberg, Cubase Project File, The ALL file extension is a data format associated to Cubase Project. ALL format and Cubase Project were developed by Steinberg. These files contain all the project data including both audio and MIDI tracks. These allow users to edit raw audio tracks MIDI files lyrics and present it in a broad format like event lists editing consoles and musical scores. The Cubase software is a music sequencer application and it offers up to 32 audio channels and 64 MIDI tracks. When creating a Cubase project project templates are shown to offer suggestions. It also offers biggest and best sample-based instruments basic reverb and delay effects plus customizing tracks. Customizing tracks include color coding or placing ruler arranger or marker in the project. It also includes a built-in video player for creating video files. Files in ALL format can be opened with Steinberg Cubase and Steinberg Cubasis in Mac Os and Microsoft Windows-based systems., Steinberg Cubase, https://www.reviversoft.com/file-extensions/all
.als , Ableton, Raw Audio Data File," The ALS file extension is a data format associated to Ableton Live. ALS files and Ableton Live were developed by Ableton. These files are clip arrangements and references that have not yet been mixed down to an audio file. The software is designed to act as instruments to live performances as well as mixing and arranging tool. It is also used for Disc Jockey track mixing. It has built-in instruments namely Impulse and Simpler. Impulse contains traditional drum instruments while Simpler uses sampling instruments. It allows previewing of audio clips while the project is being processed. The latest software out in the market is the Ableton Live 8 version. Key features include ""Upload to SoundCloud"" option and enabled automatic software updating plus updated Windows Installer. Files in ALS format can be opened with Ableton Live in Mac Os and Microsoft Windows-based systems. These files can also be converted to WAV files for media playing and CD authoring.", Ableton Live, https://www.reviversoft.com/file-extensions/als
.alt , ESTsoft Corporation, ALZip Archive File, An ALZip archive file can contain one or several files or even directories with sub directories that have one or more files. These directory and sub directory libraries or files stored in an ALZip archive file are integrated with data compression specifications used by the ALZip file compression and decompression software to archive these directories sub directories and files as well as to reduce the collective size of all files and folders contained in the ALZip archive file. The ALZip software is implemented with support for more than 32 widely used archive or compressed file formats and this application also integrates data encoding standards for storing these archived files in a compressed ALZip file that is saved in the ALZ format. These ALZip files are affixed with the .alz extension., ESTsoft ALZip, https://www.reviversoft.com/file-extensions/alt
.ALZ , ESTsoft, ALZip Archive, The ALZ file format is implemented into compressed files defined as ALZip archives and the ALZ data encoding and compression technology is a proprietary file format that was produced by the developers of a file compression tool called ALZip. This software is created by ESTsoft for private deployment under widely used versions of Microsoft Windows.  The ALZip file compression and decompression tool extends its support to more than 36 different module archives and compression programs including support for the ZIP algorithm. The ALZ file format was released in 1999 and ALZip along with the ALZ file format has no higher limit for virtual file size and expansion type and this program allows the Windows System to dictate the data size restrictions for its output files. Windows users should first install ALZip or a file compression and decompression tool that is implemented with support for decompressing files encoded and affixed with the .alz extension in order to open and access the content of these ALZ files., ESTsoft ALZip|WinRAR|Corel WinZip 16 Pro|Corel WinZip Mac Edition, https://www.reviversoft.com/file-extensions/ALZ
.amb , Paragon Decision Technology, AIMMS Model File, Files containing the AMB extension are known as AIMMS Model Files as they refer to the models that the AIMMS (Advanced Integrated Multidimensional Modeling Software) created. The AMB file extension was developed by Paragon Decision Technology and the files with this extension are categorized as data files. The data that these AMB files contain are procedures identifier declarations as well as core model functions.  These files are also based on AIMMS modeling proprietary language wherein these files are saved with the AIMMS project (.PRJ) file it is associated with. AMB files are opened with Paragon AIMMS an application considered as advanced development environment wherein it is used to build operations research applications based on optimization as well as for advanced planning systems. Numerous companies find this software useful when it comes to decision making. The AMB files created by this software have a text version and these text versions can be exported as .AIM files., Paragon AIMMS, https://www.reviversoft.com/file-extensions/amb
.amf , Otto Chrons, Module File, The AMF file extension is a data format known as DSMI Advanced Module Format (AMF) or ASYLUM Music Format. AMF files and DSMI Advanced Module Format were developed by Otto Chrons. DSMI stands for Digital Sound and Music Interface. These files contain song data and samples that are used for the instrument sounds with supporting audio tracker programs. One example of instrument sound is the LinnStrument which was a keyboard replacement. It was an invention of Roger Linn. The Asylum Music File format was used in the two games the Crusader: No Remorse and the Crusader: No Regret which contain music by Necros and Basehead. AMF files are stored in the Asylum subfolder. Files in AMF format can be opened with MikMod CocoModX  Nullsoft Winamp Media Player 5.6 Schism Tracker MODPlug Player and Open Cubic Player in Mac Os and Microsoft Windows-based systems., CocoModX MODPlug Player|Protracker Studio|MikMod|Open Cubic Player|Nullsoft Winamp Media Player 5.6, https://www.reviversoft.com/file-extensions/amf
.amg , Michael Gerzon, Ambisonics Soundfile Information Chunk File, An Ambisonics soundfile information chunk file is used by the Ambisonics surround sound system for the recovery of B-format channels that can be used in conjunction with the other channel formats implemented into the Ambisonics surround sound system. An Ambisonics soundfile information chunk file is called an AMBG file which is a type of format file used by the Ambisonics surround sound system. The separation of speaker feeds from transmission channels used by the Ambisonics surround sound system is made possible by the AMBG format file along with two other format files known as the A format file and the B format file. These Ambisonics soundfile information chunk files or AMBG files are stored in the AMG file format and are appended with the .amg extension., Ambisonics, https://www.reviversoft.com/file-extensions/amg
.aml , Microsoft Corporation, Microsoft Windows Vista Online Help Compiler File, Microsoft Windows Vista online help documentation materials are collated into an HTML document through the processing and formatting specifications integrated by a command line compiler application built into the Microsoft Windows Vista system and this command line compiler uses the Microsoft Windows Vista online help compiler to process and collate these Microsoft online help documentation materials. A Microsoft Windows Vista online help compiler file is integrated with binary text and XML-based formatting standards and implemented with data encoding specifications that allow the Microsoft Windows Vista system to store its content in the AML file format. A Microsoft Windows Vista online help compiler file is appended with the .aml extension., Microsoft Windows Vista Online Help|Microsoft Windows Vista|Microsoft Windows Help, https://www.reviversoft.com/file-extensions/aml
.amr , 3GPP, Codec File, The AMR file extension is a data format associated to Adaptive Multi-Rate audio codec. AMR files and Adaptive Multi-Rate audio codec were developed by 3GPP. These files are compressed audio format designed to efficiently compress human speech audio without sacrificing highest quality of speech clarity. They are used by many 3G cell phones for voice recordings such as MMS messages. They incorporate techniques such as Algebraic Code Excited Linear Prediction (ACELP) compression Discontinuous Transmission (DTX) voice activity detection (VAD) and comfort noise generation (CNG).To play ARM files it requires having an ARM player. ARM player is freeware and playing ARM file can be done by adding the file to the main interface and clicking on “play” to decode it. Files in AMR format can be opened with Apple QuickTime Player RealNetworks RealPlayer MIKSOFT Mobile Media Converter and VideoLAN VLC media player in Mac Os  Microsoft Windows-based systems and Linux systems., Apple QuickTime Player|VideoLan VLC Media player, https://www.reviversoft.com/file-extensions/amr
.ams , N/A, Set Up File, The AMS file extension is a data format associated to Adobe Photoshop Settings. AMS files is also known as Adobe Monitor Setup file. These files contain calibration settings of the monitor and information on how the program converts colors between modes. They are also accountable for the target gamma and white point factors effect on the display. They are used for calibrating how colors are displayed in the monitor. Before calibration it is also important to check on screen resolution color monitors should be set to highest resolution. An AMS file can be installed into Adobe Photoshop by copying the specific AMS file to the Photoshop directory. Then by selecting the Colour Settings from the Monitor Set up then loading the specified AMS file. Other factors such as adjustment settings monitor aging and accuracies of scanner and printer can also affect desired results. Files in AMS format can be opened with Adobe Photoshop CS6 in Mac Os and Microsoft Windows-based systems., Adobe Photoshop CS6 for Microsoft Windows, https://www.reviversoft.com/file-extensions/ams
.ams , N/A, Set Up File, The AMS file extension is a data format associated to Adobe Photoshop Settings. AMS files is also known as Adobe Monitor Setup file. These files contain calibration settings of the monitor and information on how the program converts colors between modes. They are also accountable for the target gamma and white point factors effect on the display. They are used for calibrating how colors are displayed in the monitor. Before calibration it is also important to check on screen resolution color monitors should be set to highest resolution. An AMS file can be installed into Adobe Photoshop by copying the specific AMS file to the Photoshop directory. Then by selecting the Colour Settings from the Monitor Set up then loading the specified AMS file. Other factors such as adjustment settings monitor aging and accuracies of scanner and printer can also affect desired results. Files in AMS format can be opened with Adobe Photoshop CS6 in Mac Os and Microsoft Windows-based systems., Adobe Photoshop CS6 for Microsoft Windows, https://www.reviversoft.com/file-extensions/ams
.amsorm , Xcira, OnLine Ringman Auction Client File," The executable file of the OnLine Ringman software ringstart.exe automatically opens associated files appended with the .amsorm extension upon its initialization. This means when a user of the Online Ringman application opens the program these AMSORM files are also accessed by the software and the data contained in these AMSORM files are referenced by the program. The OnLine Ringman software is an application developed to provide users with access to live auctions held in remote locations via the Internet. With the Online Ringman software users can participate in these live auctions. The content of these AMSORM files include details used by the Online Ringman software for connecting to particular online live auctions so these AMSORM files are classified as data files. The file extension AMSORM is an acronym which stands for ""Auction Management Systems Online Ringman"". Auction Management Systems the creator of OnLine Ringman changed its name to Xcira in 2009. Xcira developed the Online Ringman application and integrated support for Microsoft Windows-based systems so Microsoft Windows users can install this application to implement support for these AMSORM files.", Xcira OnLine Ringman, https://www.reviversoft.com/file-extensions/amsorm
.amu , Sony, PictureGear Studio Photo Album File, Digital photo albums can be created using a wide variety of photo editing applications and these programs store content entered by the user and save it in files with proprietary file formats and also append these output files with proprietary file extensions. The AMU file extension is an example of a proprietary file extension of a proprietary file format for digital photo albums created using the PictureGear Studio software. This application was developed by Sony and is bundled with some VAIO devices running on Microsoft Windows (VAIO products are also manufactured by Sony). Users of Microsoft Windows-based systems can install the PhotoGear Studio to start creating project output files in the .amu format and can also begin to open and edit these AMU files since AMU support will be integrated after installing the PhotoGear Studio software. This application references the data stored in these AMU files when the user views them and these pieces of data include details of the images and formatting attributes entered by the author of the photo album project., Sony PictureGear Studio, https://www.reviversoft.com/file-extensions/amu
.amxd , Ableton, Patch File, The AMXD file extension is a data format associated to Ableton Max Patch. These files contain setting format on audio MIDI effect and custom instrument used in Max for Live software.  They allow music producers to extend the default Ableton Live devices. The software allows users to build instruments and effects for use within Ableton Live. Several free patches available in Max for Live include REVERSE (aka JC Reversr b004) MIDI QUANTIZE LFO-One Already Played Pitch Drop Visual Metronome Motion Mod and others. When the abovementioned patches are being downloaded they would carry the AMXD file extension.  To bring the object into Live open “Live” then open the “finder” locate the file and click/drag the .amxd file from the finder directly into Live (and onto a track). Some files can be located from audio tracks and others are in MIDI tracks depending on the type of effect it possesses., Ableton Live, https://www.reviversoft.com/file-extensions/amxd
.an1 , DeLorme, Street Atlas USA Draw File, Files with the AN1 extension are also called Street Atlas USA draw files and these AN1 files are used by the Street Atlas USA application as reference data when a user views an associated project output file also created using this application. These AN1 files can also be created and entered or associated into a project output file with the Street Atlas USA software. This application creates these AN1 files each time a user enters graphical details associated to a project output file. When the project output file is viewed by a user of the Street Atlas USA program this application locates the associated .an1 files and references the data stored in those AN1 files such as map routes entered by the author of the project output file among other geographical details. The Street Atlas USA software is a GPS navigation application developed by deLorme to provide users with a convenient means of generating map files. Files classified as data files refer to data stored in files which needs to be referenced loaded or used by an associated application. This happens when a user of an application opens and views the content of the data file or an associated output file that correspond to other data files. The AN1 format is used for this purpose and files appended with the .an1 extension are classified as data files., DeLorme Street Atlas USA, https://www.reviversoft.com/file-extensions/an1
.anme , Smith Micro, Anime Studio Document, Anime Studio document files are files appended with the ANME extension and these are used as data files by the Anime Studio 8 software. Data files are files stored with data entered by either the user or the application which may be referenced by the software used to open and view the content of an output file associated to the data files if not the output files themselves. Files in the ANME extension are the output files of animation projects that were developed using the Anime Studio 8 software. This application is a program developed by Smith Micro  for the creation of animated and still drawings in digital format. Files in the .anme extension contain details of attributes and formatting elements entered by the Anime Studio 8 user during the creation of the output file and these details may include graphics animated character model attributes animated keyframes and timelines. These ANME files are also integrated with support for digital audio clips. Files with the .anme extension are mostly used for developing digital animated motion graphics (in 2D or 3D environments). Smith Micro developed the Anime Studio software and there are versions for Microsoft Windows-based systems as well as versions for Mac environments., Smith Micro Anime Studio 8 Debut, https://www.reviversoft.com/file-extensions/anme
.ans , N/A, ANSI text file, The ANS file extension is related to the Microsoft Word Program that allows users to share and create various documents that offer an extensive writing tool and user friendly Microsoft Office Fluent interface.  Provided also are formats and layouts that gives easy access to every user.  These files also represent a computer art form that was visible during the time of BBS or Bulletin Board System.  The BBS is the pioneer in what is now known as World Wide Webb and the Internet. ANSI art as what it is called; it contains sequences that have the ability to color texts with 8 background and 16 foreground colors. ANSI users like artists also use this to create animations which they named ANSImations.  It is very much similar to ASCII art but uses a larger set of numbers letters and symbols.  This is sometimes referred as extended ASCII and prevalent in environments of MS-DOS., Notepad2|Microsoft Notepad|Microsoft Write|Microsoft Word|Microsoft WordPad, https://www.reviversoft.com/file-extensions/ans
